Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy;Rozdzial
dead end;ślepy zaułek;;[sound:quizlet-16914786281-front.mp3];[sound:quizlet-16914786281-back.mp3];"<img src=""quizlet-42b2btnDbMXWj7QMeQtViQ.png"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
decametre;dekametr;;[sound:quizlet-16914786282-front.mp3];[sound:quizlet-16914786282-back.mp3];"<img src=""quizlet-3pKCfZCuQusp1c1WndSavQ.jpg"">";Pomiar i jednostki
decanting;dekantacja;;[sound:quizlet-16914786283-front.mp3];[sound:quizlet-16914786283-back.mp3];"<img src=""quizlet-KHO0kOE9owA7A2m-voy4Lw.jpg"">";Proces budowlany
decay;rozkład naturalny;;[sound:quizlet-16914786284-front.mp3];[sound:quizlet-16914786284-back.mp3];"<img src=""quizlet-cmor.znoOo28AO4T4yti7w.jpg"">";Materiały budowlane
dechlorination;odchlorowanie;;[sound:quizlet-16914786285-front.mp3];[sound:quizlet-16914786285-back.mp3];"<img src=""quizlet-c-Ugyxua3ZUZA6pQVv6KzA.png"">";Instalacje techniczne
deck;pokład;;[sound:quizlet-16914786286-front.mp3];[sound:quizlet-16914786286-back.mp3];"<img src=""quizlet-BdCxcaVn5OGhXnCHutFXHg.jpg"">";Elementy konstrukcyjne
deeping;pogłębianie;Synonimy: dredging, dragging;[sound:quizlet-16914786287-front.mp3];[sound:quizlet-16914786287-back.mp3];"<img src=""quizlet-OzLxmG9WxCvSUJignAlACQ.jpg"">";Proces budowlany
deflection;ugięcie;Synonimy: deflexion;[sound:quizlet-16914786288-front.mp3];[sound:quizlet-16914786288-back.mp3];"<img src=""quizlet-Mwj-60DHXX.BlfXU7faqRg.jpg"">";Elementy konstrukcyjne
degradation;degradacja;;[sound:quizlet-16914786289-front.mp3];[sound:quizlet-16914786289-back.mp3];"<img src=""quizlet-sVAC3.EXLUQ0-yeBRPyumA.jpg"">";Proces budowlany
degree;stopień;Synonimy: grade;[sound:quizlet-16914786290-front.mp3];[sound:quizlet-16914786290-back.mp3];"<img src=""quizlet-d1l6ZS0jeeWUOxY-CgURJA.jpg"">";Pomiar i jednostki
dehydration;odwodnienie;;[sound:quizlet-16914786291-front.mp3];[sound:quizlet-16914786291-back.mp3];"<img src=""quizlet-fSsS5hUUbMtutTUHtj9TdA.jpg"">";Materiały budowlane
delamination;rozwarstwienie;Synonimy: dissection;[sound:quizlet-16914786292-front.mp3];[sound:quizlet-16914786292-back.mp3];"<img src=""quizlet-JTepUupcxqhkZC2VNdLtnQ.png"">";Materiały budowlane
delay;opóźnienie;;[sound:quizlet-16914786293-front.mp3];[sound:quizlet-16914786293-back.mp3];"<img src=""quizlet-v3FzMaAej54iCUe7qsXesg.jpg"">";Proces budowlany
delivery ramp;rampa załadowcza;;[sound:quizlet-16914786294-front.mp3];[sound:quizlet-16914786294-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075043_200115_1350_24.jpg'>;Elementy konstrukcyjne
demineralised;zdemineralizowany;;[sound:quizlet-16914786295-front.mp3];[sound:quizlet-16914786295-back.mp3];"<img src=""quizlet-F9Cxl6KlhIclCzpMi0cprQ.jpg"">";Materiały budowlane
demolition;rozbiórka;;[sound:quizlet-16914786296-front.mp3];[sound:quizlet-16914786296-back.mp3];"<img src=""quizlet-fm6RrZs.s6uXkmXH5iFDRw.jpg"">";Proces budowlany
density;gęstość;;[sound:quizlet-16914786297-front.mp3];[sound:quizlet-16914786297-back.mp3];"<img src=""quizlet-ZQyNIdbyFrGhkLihnjtzoQ.png"">";Pomiar i jednostki
dentil;ząbki;;[sound:quizlet-16914786298-front.mp3];[sound:quizlet-16914786298-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075044_191228_1554_31.jpg'>;Style, ornamenty, sztuka i historia
depth;głębokość;;[sound:quizlet-16914786299-front.mp3];[sound:quizlet-16914786299-back.mp3];"<img src=""quizlet-thL2NKPK8pNSo4CTpkt3nA.jpg"">";Pomiar i jednostki
derelict;opuszczony;Synonimy: abandoned, desolate;[sound:quizlet-16914786300-front.mp3];[sound:quizlet-16914786300-back.mp3];"<img src=""quizlet-Nnd-JGFafyzTh5BSvx4QSQ.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
detached;oderwany;;[sound:quizlet-16914786301-front.mp3];[sound:quizlet-16914786301-back.mp3];"<img src=""quizlet-U4NAYKDZ21MO02BzvKKAQg.jpg"">";Elementy konstrukcyjne
detached house;dom jednorodzinny;Synonimy: large detached house;[sound:quizlet-16914786302-front.mp3];[sound:quizlet-16914786302-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075045_200115_1344_36.jpg'>;Budynki
deterioration;pogorszenie;;[sound:quizlet-16914786303-front.mp3];[sound:quizlet-16914786303-back.mp3];"<img src=""deterioration.png"">";Proces budowlany
deviation;odchylenie;;[sound:quizlet-16914786304-front.mp3];[sound:quizlet-16914786304-back.mp3];"<img src=""quizlet-rMeeubrIoTUbUfIH4wdaJA.png"">";Proces budowlany
diagonal;przekątna;;[sound:quizlet-16914786305-front.mp3];[sound:quizlet-16914786305-back.mp3];"<img src=""quizlet-neU3k1oMS4m-3adtlI7ljQ.png"">";Elementy konstrukcyjne
diagonal buttress;żebra przekątnikowe;;[sound:quizlet-16914786306-front.mp3];[sound:quizlet-16914786306-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075047_200114_1616_15.jpg'>;Elementy konstrukcyjne
diameter;średnica;;[sound:quizlet-16914786307-front.mp3];[sound:quizlet-16914786307-back.mp3];"<img src=""quizlet-WSbJ63N3Ypd5tOtE0ln-Lg.jpg"">";Pomiar i jednostki
diaphragm;membrana;Synonimy: membrane;[sound:quizlet-16914786308-front.mp3];[sound:quizlet-16914786308-back.mp3];"<img src=""diaphragm.jpg"">";Elementy konstrukcyjne
diffuser;dyfuzor;;[sound:quizlet-16914786309-front.mp3];[sound:quizlet-16914786309-back.mp3];"<img src=""quizlet-vGC02xHvROotiE-81cZkIQ.png"">";Instalacje techniczne
diffusion;dyfuzja;;[sound:quizlet-16914786310-front.mp3];[sound:quizlet-16914786310-back.mp3];"<img src=""quizlet-qzg6DmSmE3yGyl__zvU-ow.jpg"">";Materiały budowlane
dilatancy;dylatacja;;[sound:quizlet-16914786311-front.mp3];[sound:quizlet-16914786311-back.mp3];"<img src=""quizlet-8h1XarByJgOCJ-pX29s4oA.png"">";Materiały budowlane
dilatometer;dylatometr;;[sound:quizlet-16914786312-front.mp3];[sound:quizlet-16914786312-back.mp3];"<img src=""quizlet-bBwuw9UaGXYVArdLMTIxrA.jpg"">";Narzędzia i sprzęt
dimension;wymiar;;[sound:quizlet-16914786313-front.mp3];[sound:quizlet-16914786313-back.mp3];"<img src=""quizlet-NPDtiX3m1R408K1zuVRYBA.jpg"">";Pomiar i jednostki
dining room;jadalnia;;[sound:quizlet-16914786314-front.mp3];[sound:quizlet-16914786314-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075049_200219_1928_03.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236075049_200219_1927_15.jpg'>;Wyposażenie i wnętrza
disabled facilities;udogodnienia dla niepełnosprawnych;;[sound:quizlet-16914786316-front.mp3];[sound:quizlet-16914786316-back.mp3];"<img src=""quizlet-TAPxruCCzEP4HafOzmVqmQ.jpg"">";Wyposażenie i wnętrza
discontinuity;nieciągłość;;[sound:quizlet-16914786317-front.mp3];[sound:quizlet-16914786317-back.mp3];"<img src=""quizlet-Xl4VUvv6pD2Ld2WU-IhALA.jpg"">";Elementy konstrukcyjne
disinfection;dezynfekcja;;[sound:quizlet-16914786318-front.mp3];[sound:quizlet-16914786318-back.mp3];"<img src=""quizlet-z5kMHcvRSgove7G9kWznRQ.jpg"">";Instalacje techniczne
displacement;przemieszczenie;;[sound:quizlet-16914786319-front.mp3];[sound:quizlet-16914786319-back.mp3];"<img src=""quizlet-cI0kutK2PvU0iqU5droalg.jpg"">";Elementy konstrukcyjne
disruption;zakłócenie;;[sound:quizlet-16914786320-front.mp3];[sound:quizlet-16914786320-back.mp3];"<img src=""quizlet-n1ZVhbLRJYBGOnmwTTfQ5w.jpg"">";Proces budowlany
distillation;destylacja;;[sound:quizlet-16914786321-front.mp3];[sound:quizlet-16914786321-back.mp3];"<img src=""quizlet-sqVfvrYKGYSWKMhLvlut6Q.jpg"">";Materiały budowlane
distilled;destylowany;;[sound:quizlet-16914786322-front.mp3];[sound:quizlet-16914786322-back.mp3];"<img src=""quizlet-WR3uxfp73GbTOiMTA1QPUA.png"">";Materiały budowlane
ditch;rów;;[sound:quizlet-16914786323-front.mp3];[sound:quizlet-16914786323-back.mp3];"<img src=""quizlet-Oe9fqwQBY6U4OQ0r9h7RJA.jpg"">";Elementy konstrukcyjne
diversity factor;współczynnik różnorodności;;[sound:quizlet-16914786324-front.mp3];[sound:quizlet-16914786324-back.mp3];"<img src=""quizlet-U-1FImGayqD.aXvf5tSmhw.jpg"">";Pomiar i jednostki
dome;kopuła;Synonimy: dome roof;[sound:quizlet-16914786325-front.mp3];[sound:quizlet-16914786325-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375854_200114_1649_00.jpg'>;Elementy konstrukcyjne
door;brama;Synonimy: gate;[sound:quizlet-16914786326-front.mp3];[sound:quizlet-16914786326-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075050_191229_1727_05.jpg'>;Wykończenia i detale
door handle;klamka;Synonimy: doorknob, door knob;[sound:quizlet-16914786327-front.mp3];[sound:quizlet-16914786327-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375856_200115_1150_56.jpg'>;Wykończenia i detale
door lock;zamek od drzwi;;[sound:quizlet-16914786328-front.mp3];[sound:quizlet-16914786328-back.mp3];"<img src=""quizlet-C0haWUKv1TAL9VWvpaDn8Q.jpg"">";Wykończenia i detale
doorframe;rama/framuga drzwi;Synonimy: door frame, door jamb;[sound:quizlet-16914786329-front.mp3];[sound:quizlet-16914786329-back.mp3];"<img src=""quizlet-nYnStth3pJwPQctXlWHJ-A.png"">";Wykończenia i detale
doormat;wycieraczka;;[sound:quizlet-16914786330-front.mp3];[sound:quizlet-16914786330-back.mp3];"<img src=""quizlet-aJA3XcqcrBW8M-kg2bfp4w.jpg"">";Wyposażenie i wnętrza
Doric order;porządek dorycki;;[sound:quizlet-16914786331-front.mp3];[sound:quizlet-16914786331-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075052_191228_1558_10.jpg'>;Style, ornamenty, sztuka i historia
double connector;podwójne złącze;;[sound:quizlet-16914786332-front.mp3];[sound:quizlet-16914786332-back.mp3];"<img src=""quizlet-OLZ5lScz8e2wWCiR1Y0Q0A.png"">";Elementy konstrukcyjne
double door;podwójne drzwi;;[sound:quizlet-16914786333-front.mp3];[sound:quizlet-16914786333-back.mp3];"<img src=""quizlet-8BC6fs32vI.F4EHwDznOOg.png"">";Wykończenia i detale
double leaf bascule-bridge;dwuskrzydłowy most zwodzony;Synonimy: double leaf basculebridge;[sound:quizlet-16914786334-front.mp3];[sound:quizlet-16914786334-back.mp3];"<img src=""quizlet-EWZvHOYVwowKDDqce8h8TQ.png"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
double plate;ściąg;;[sound:quizlet-16914786335-front.mp3];[sound:quizlet-16914786335-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075053_200115_1259_28.jpg'>;Elementy konstrukcyjne
dovetail;zazębiać;;[sound:quizlet-16914786336-front.mp3];[sound:quizlet-16914786336-back.mp3];"<img src=""quizlet-t8w7Ii.WvT8CunMkcSnrrQ.png"">";Proces budowlany
dowel;kołek;Synonimy: pin, peg, hob;[sound:quizlet-16914786337-front.mp3];[sound:quizlet-16914786337-back.mp3];"<img src=""quizlet-OJ9pcsSG.fpyfE85ZImpPw.jpg"">";Elementy konstrukcyjne
downpipe;rynna spustowa;;[sound:quizlet-16914786338-front.mp3];[sound:quizlet-16914786338-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075054_200115_1304_04.jpg'>;Elementy konstrukcyjne
downtime;czas przestoju;;[sound:quizlet-16914786339-front.mp3];[sound:quizlet-16914786339-back.mp3];"<img src=""quizlet-c5eT5FHJT-EbjTodfMBZMw.jpg"">";Proces budowlany
drag;opór;Synonimy: resistance;[sound:quizlet-16914786340-front.mp3];[sound:quizlet-16914786340-back.mp3];"<img src=""quizlet-D9OVEgiHSm.LMLWGPJFCLA.jpg"">";Elementy konstrukcyjne
drain tile;rura drenażowa;;[sound:quizlet-16914786341-front.mp3];[sound:quizlet-16914786341-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075055_200115_1251_56.jpg'>;Instalacje techniczne
drainer;ociekacz;;[sound:quizlet-16914786342-front.mp3];[sound:quizlet-16914786342-back.mp3];"<img src=""quizlet-LeeShUAg7xpctQnmlgV1NQ.jpg"">";Wyposażenie i wnętrza
drainpipe;rura odpływowa;;[sound:quizlet-16914786343-front.mp3];[sound:quizlet-16914786343-back.mp3];"<img src=""quizlet-WyEWagp5V6Hz4MqybxZ7JA.jpg"">";Instalacje techniczne
dressing room;garderoba;Synonimy: walk in wardrobe, walk in closet, walk in;[sound:quizlet-16914786344-front.mp3];[sound:quizlet-16914786344-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075056_200219_2040_34.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236075056_200115_1314_39.jpg'>;Wyposażenie i wnętrza
drill;wiercić;;[sound:quizlet-16914786345-front.mp3];[sound:quizlet-16914786345-back.mp3];"<img src=""quizlet-MfPUGZAx.E09RfIPSL0tog.png"">";Proces budowlany
drip;kapać;;[sound:quizlet-16914786346-front.mp3];[sound:quizlet-16914786346-back.mp3];"<img src=""quizlet--jmud.3OZReEv89q1ZqV-g.jpg"">";Elementy konstrukcyjne
driveway;alejka wjazdowa;;[sound:quizlet-16914786347-front.mp3];[sound:quizlet-16914786347-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068532_200115_1333_00.jpg'>;Elementy konstrukcyjne
drum;bęben/tambur;Synonimy: tholobate;[sound:quizlet-16914786348-front.mp3];[sound:quizlet-16914786348-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075057_191228_1601_36.jpg'>;Elementy konstrukcyjne
drying;wysuszenie;;[sound:quizlet-16914786349-front.mp3];[sound:quizlet-16914786349-back.mp3];"<img src=""quizlet-NAzomqlroniAsIyiADkCxw.jpg"">";Proces budowlany
ductile;ciągliwy;;[sound:quizlet-16914786350-front.mp3];[sound:quizlet-16914786350-back.mp3];"<img src=""quizlet-60yuHT.L2fkc1iMmhz0h0Q.png"">";Materiały budowlane
earth pressure;ciśnienie ziemi;;[sound:quizlet-16914786351-front.mp3];[sound:quizlet-16914786351-back.mp3];"<img src=""quizlet-yxsUyl.JrBMNbx90xH1Bqw.jpg"">";Elementy konstrukcyjne
eaves;okap;Synonimy: hood, weatherboard;[sound:quizlet-16914786352-front.mp3];[sound:quizlet-16914786352-back.mp3];"<img src=""quizlet-nwG3y4SeVQOA7jH.1zz3YQ.jpg"">";Elementy konstrukcyjne
echinus;echinus;;[sound:quizlet-16914786353-front.mp3];[sound:quizlet-16914786353-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075147_191228_1600_27.jpg'>;Style, ornamenty, sztuka i historia
eddy;wir;Synonimy: vortex;[sound:quizlet-16914786354-front.mp3];[sound:quizlet-16914786354-back.mp3];"<img src=""quizlet-KRiOiOHOzn3kcbrN6LA3zQ.jpg"">";Elementy konstrukcyjne
edge;krawędź;;[sound:quizlet-16914793002-front.mp3];[sound:quizlet-16914793002-back.mp3];"<img src=""quizlet-K3KhcBnP0agA3sG0-WNaKQ.png"">";Elementy konstrukcyjne
effluent;odciek;;[sound:quizlet-16914793003-front.mp3];[sound:quizlet-16914793003-back.mp3];"<img src=""quizlet-qGFn2XNvrk5WTZM2avBl1g.jpg"">";Instalacje techniczne
elastic;elastyczny;;[sound:quizlet-16914793004-front.mp3];[sound:quizlet-16914793004-back.mp3];"<img src=""quizlet-bpTz3284ClInCDr18RYEkg.jpg"">";Materiały budowlane
elastic modulus;moduł sprężystości;;[sound:quizlet-16914793005-front.mp3];[sound:quizlet-16914793005-back.mp3];"<img src=""quizlet-EmD-NVE8DQa0C0okUuNv7Q.png"">";Elementy konstrukcyjne
elasticity;elastyczność;;[sound:quizlet-16914793006-front.mp3];[sound:quizlet-16914793006-back.mp3];"<img src=""quizlet-bpTz3284ClInCDr18RYEkg.jpg"">";Materiały budowlane
electric charge;ładunek elektryczny;;[sound:quizlet-16914793007-front.mp3];[sound:quizlet-16914793007-back.mp3];"<img src=""quizlet-OeUPwTYw1zbTkkfDq6Whbg.jpg"">";Instalacje techniczne
electric current;prąd elektryczny;;[sound:quizlet-16914793008-front.mp3];[sound:quizlet-16914793008-back.mp3];"<img src=""quizlet-1ECjQFy6jxZEJWZ3eVio1w.jpg"">";Instalacje techniczne
electric drill;wiertarka elektryczna;Synonimy: power drill;[sound:quizlet-16914793009-front.mp3];[sound:quizlet-16914793009-back.mp3];"<img src=""quizlet-DYeSHiPbQ8zOQVq9wydh9g.jpg"">";Narzędzia i sprzęt
electric heating;ogrzewanie elektryczne;;[sound:quizlet-16914793010-front.mp3];[sound:quizlet-16914793010-back.mp3];"<img src=""quizlet-iGlpSyb-samgpoEd0mTb5Q.jpg"">";Instalacje techniczne
electric tools;narzędzia elektryczne;;[sound:quizlet-16914793011-front.mp3];[sound:quizlet-16914793011-back.mp3];"<img src=""quizlet-5B7iZkexU-YCCFVDvCHZ0g.jpg"">";Narzędzia i sprzęt
electrician;elektryk;;[sound:quizlet-16914793012-front.mp3];[sound:quizlet-16914793012-back.mp3];"<img src=""quizlet-IWMUwr3_ChWAskVnZpszuw.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
electricity;elektryczność;;[sound:quizlet-16914793013-front.mp3];[sound:quizlet-16914793013-back.mp3];"<img src=""quizlet-8.qEY0QPgoIjXZY5sPLvuQ.jpg"">";Instalacje techniczne
electrode;elektroda;;[sound:quizlet-16914793014-front.mp3];[sound:quizlet-16914793014-back.mp3];"<img src=""quizlet-ew6B6Ku799lWL6a03W0Cfw.png"">";Instalacje techniczne
electrolyte;elektrolit;;[sound:quizlet-16914793015-front.mp3];[sound:quizlet-16914793015-back.mp3];"<img src=""quizlet-1TN-XCPBNdyfJbO8xUPQbA.png"">";Instalacje techniczne
electromotive force;siła elektromotoryczna;;[sound:quizlet-16914793016-front.mp3];[sound:quizlet-16914793016-back.mp3];"<img src=""quizlet-gbxROZqg9alRZy4XhBTuFA.jpg"">";Instalacje techniczne
electron;elektron;;[sound:quizlet-16914793017-front.mp3];[sound:quizlet-16914793017-back.mp3];"<img src=""quizlet-rUrhPEs7CN97QopBhHu4Rg.jpg"">";Materiały budowlane
electrostatic;elektrostatyczny;;[sound:quizlet-16914793018-front.mp3];[sound:quizlet-16914793018-back.mp3];"<img src=""quizlet-1K51lrzVoHlEUQgCE1TOlg.jpg"">";Instalacje techniczne
elevation;podniesienie;Synonimy: raise, increase;[sound:quizlet-16914793019-front.mp3];[sound:quizlet-16914793019-back.mp3];"<img src=""quizlet-uWaIzRzJDvnwTQvBNKEfEg.jpg"">";Elementy konstrukcyjne
elevator;winda;Synonimy: lift, hoist;[sound:quizlet-16914793020-front.mp3];[sound:quizlet-16914793020-back.mp3];"<img src=""quizlet-bGUBIUCE3MQfTJch07Lt.g.jpg"">";Wyposażenie i wnętrza
elevonics;elewacje;;[sound:quizlet-16914793021-front.mp3];[sound:quizlet-16914793021-back.mp3];"<img src=""quizlet-Y0aYledSVgt0zdLXhxB.WQ.png"">";Elementy konstrukcyjne
ellipse;elipsa;;[sound:quizlet-16914793022-front.mp3];[sound:quizlet-16914793022-back.mp3];"<img src=""quizlet-mjHKTWIZkTwZkXpwwG29wQ.jpg"">";Rysunek techniczny i wizualizacja
elm;wiąz;;[sound:quizlet-16914793023-front.mp3];[sound:quizlet-16914793023-back.mp3];"<img src=""quizlet-akeefe6iSE11t0O1_3DQmw.jpg"">";Materiały budowlane
elongation;wydłużenie;;[sound:quizlet-16914793024-front.mp3];[sound:quizlet-16914793024-back.mp3];"<img src=""quizlet-Bkkh0WZaHl7cftWOF7Pe6Q.png"">";Elementy konstrukcyjne
embankment;wał przeciwpowodziowy;;[sound:quizlet-16914793025-front.mp3];[sound:quizlet-16914793025-back.mp3];"<img src=""quizlet-5Aup0C8b51wZWrPkv1tRsA.jpg"">";Elementy konstrukcyjne
embrasure;stanowiska dział;;[sound:quizlet-16914793026-front.mp3];[sound:quizlet-16914793026-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075152_200114_1626_32.jpg'>;Budynki
emissivity;emisyjność;;[sound:quizlet-16914793027-front.mp3];[sound:quizlet-16914793027-back.mp3];"<img src=""quizlet-kWS3XmQmz1ZeV3Cl4QoXWg.jpg"">";Materiały budowlane
empirical;empiryczny;;[sound:quizlet-16914793028-front.mp3];[sound:quizlet-16914793028-back.mp3];"<img src=""quizlet-D2uwen7YedFDdrLkd90AJw.jpg"">";Proces budowlany
emulsion;emulsja;;[sound:quizlet-16914793029-front.mp3];[sound:quizlet-16914793029-back.mp3];"<img src=""quizlet-6dlFEoofXdmd1qr3AfijDA.jpg"">";Materiały budowlane
engine;silnik;;[sound:quizlet-16914793030-front.mp3];[sound:quizlet-16914793030-back.mp3];"<img src=""quizlet-RiEs0N7oUik7MqsoZ58h4w.jpg"">";Narzędzia i sprzęt
engineer;inżynier;;[sound:quizlet-16914793031-front.mp3];[sound:quizlet-16914793031-back.mp3];"<img src=""quizlet-5qHWr43.X9rBA21qhJ8Kgw.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
engineering;inżynieria;;[sound:quizlet-16914793032-front.mp3];[sound:quizlet-16914793032-back.mp3];"<img src=""quizlet-gzM-tCEeFuZjlD0rVBbxIA.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
ensure;zapewnić;;[sound:quizlet-16914793033-front.mp3];[sound:quizlet-16914793033-back.mp3];"<img src=""quizlet-aBG3ecTzzOCYWdHGjxMP7w.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
entablature;belkowanie;;[sound:quizlet-16914793034-front.mp3];[sound:quizlet-16914793034-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075153_191228_1549_08.jpg'>;Elementy konstrukcyjne
entry;wejście;Synonimy: entrance;[sound:quizlet-16914793037-front.mp3];[sound:quizlet-16914793037-back.mp3];"<img src=""quizlet-ox2NRAK1It1RvBEPOsjDug.jpg"">";Elementy konstrukcyjne
